Internship_ID,Company,Required_Field,Required_Skills,Location,Role
1,Rodriguez-Chang,Mechanical Engineering,"SolidWorks, MATLAB",Abuja,Mechanical Engineering Intern
2,"Gay, Torres and Ferguson",Nursing Science,Patient Care,Ibadan,Nursing Intern
3,Moyer LLC,Petroleum Engineering,Drilling,Ibadan,Petroleum Engineering Intern
4,Petersen-Murphy,Business Administration,"Human Resources, Project Management, Finance",Benin City,HR Intern
5,Collins-Sanchez,Petroleum Engineering,"Drilling, Geophysics",Abuja,Petroleum Engineering Intern
6,"Figueroa, Norman and Vargas",Civil Engineering,"Structural Analysis, Surveying, AutoCAD",Lagos,Civil Engineering Intern
7,"Whitney, Smith and Sanchez",Computer Science,SQL,Enugu,Software Engineering Intern
8,"Walsh, Ortiz and Hale",Medical Laboratory Science,"Microscopy, Lab Techniques",Kano,Administrative Intern
9,Case LLC,Computer Science,C++,Ibadan,Software Engineering Intern
10,Lewis-Miller,Nursing Science,"Patient Care, Clinical Practice",Port Harcourt,Nursing Intern
11,Thomas Inc,Mechanical Engineering,MATLAB,Aba,Mechanical Engineering Intern
12,Kelley-Sheppard,Computer Science,"SQL, ML",Aba,Software Engineering Intern
13,Johnson-Wilson,Electrical Engineering,Signal Processing,Abuja,Electrical Engineering Intern
14,Alvarez LLC,Nursing Science,Pharmacology,Enugu,Nursing Intern
15,"Hunt, Rodriguez and Harrison",Nursing Science,"Anatomy, Patient Care",Lagos,Nursing Intern
16,Stephens-Bautista,Nursing Science,Anatomy,Enugu,Nursing Intern
17,Porter LLC,Nursing Science,"Anatomy, Pharmacology",Abuja,Nursing Intern
18,Strickland-Cunningham,Petroleum Engineering,"Reservoir Engineering, Drilling",Port Harcourt,Petroleum Engineering Intern
19,Ortiz-Wagner,Medical Laboratory Science,"Lab Techniques, Microscopy, Pathology",Ibadan,Administrative Intern
20,"Davis, Meyer and Holloway",Electrical Engineering,"Embedded Systems, Power Systems",Abuja,Electrical Engineering Intern
21,"Martin, Duncan and Holmes",Medical Laboratory Science,Microscopy,Onitsha,Administrative Intern
22,Davis-Thompson,Nursing Science,Clinical Practice,Aba,Nursing Intern
23,"Clark, Nunez and Hughes",Architecture,"Sustainable Architecture, Urban Planning",Aba,Administrative Intern
24,Smith-Wiley,Business Administration,Project Management,Lagos,Project Management Intern
25,House-Garrett,Architecture,"Sustainable Architecture, Urban Planning, AutoCAD",Onitsha,Administrative Intern
26,Johnson-Christensen,Business Administration,"Marketing, Finance, Project Management",Kano,Finance Intern
27,Brown-Ruiz,Computer Science,"C++, Python",Onitsha,Software Engineering Intern
28,"Molina, King and Stone",Business Administration,"Human Resources, Marketing",Ibadan,HR Intern
29,Moses-Yates,Mechanical Engineering,"SolidWorks, MATLAB",Aba,Mechanical Engineering Intern
30,Davis-Bowen,Nursing Science,"Clinical Practice, Patient Care, Pharmacology",Abuja,Nursing Intern
31,Nunez-Wilkerson,Civil Engineering,Construction Management,Onitsha,Civil Engineering Intern
32,Williams-Mcclure,Computer Science,"C++, SQL",Kaduna,Software Engineering Intern
33,Petty-Wilson,Pharmacy,"Chemistry, Drug Design, Pharmacology",Port Harcourt,Design Intern
